date,opponent,home_game,result,runs_scored,runs_allowed,game_id,status
2025-05-17,Chicago Cubs,False,L,3,7,777881,Final
2025-05-18,Chicago Cubs,False,L,2,6,777872,Final
2025-05-19,Seattle Mariners,True,L,1,5,777857,Final
2025-05-20,Seattle Mariners,True,W,1,0,777846,Final
2025-05-21,Seattle Mariners,True,L,5,6,777830,Final
2025-05-23,Texas Rangers,True,W,4,1,777805,Final
2025-05-24,Texas Rangers,True,W,10,5,777792,Final
2025-05-25,Texas Rangers,True,L,4,5,777777,Final
2025-05-26,New York Mets,False,L,1,2,777758,Final
2025-05-27,New York Mets,False,L,4,6,777749,Final
2025-05-28,New York Mets,False,W,9,4,777737,Final
2025-05-30,Baltimore Orioles,False,L,1,2,777720,Final
2025-05-31,Baltimore Orioles,False,L,2,4,777699,Final
2025-06-01,Baltimore Orioles,False,L,2,3,777684,Final
2025-06-02,Detroit Tigers,True,L,1,13,777674,Final
2025-06-03,Detroit Tigers,True,W,8,1,777661,Final
2025-06-04,Detroit Tigers,True,L,4,5,777639,Final
2025-06-05,Detroit Tigers,True,W,3,2,777634,Final
2025-06-06,Kansas City Royals,True,W,7,2,777618,Final
